tweet_text,sentiment
Indian homes doesn’t need any #intercom. Jab tak chillake nai bulayenge hume feel nai aati. #AppleEvent #AppleHomepodmini,1
Imagine finally making the iPhone cheaper only to lose 80 billion in a day and experience reverse stonks 📉  #AppleEvent,2
Highly disappointed with the IPHONE 12. #AppleEvent,2
YOO THIS IS OS COOL LIKE AND U WILL SE #AppleEvent,0
#AppleEvent Just tweeting this for that like animation although new iPhone sucks!,2
goo morningggg..like this to see magic #AppleEvent,0
Android​ #AppleEvent,1
"Take both of my kidneys, cause bitch I’m sold. #iPhone12 #AppleEvent #Apple #iPhone12mini",0
10 best features of iPhone 12 Pro and iPhone 12 Pro Max  #AppleEvent #iPhone12   https://t.co/ohBK6A923b,0
"In 2019, Apple was responsible for 25.1 million metric tons of greenhouse-gas emissions. 👎 In 2020, the $1.6 trillion company commits to becoming carbon neutral by 2030. #AppleEvent  👍   Learn more @climate   https://t.co/TW41XvGCRT",1
Mobile companies other than apple please please don't think 'no charger' is cool and even you start it   #AppleEvent,1
LiDAR Scanner from iPhone 12 Pro Max can improve and hasten Interior Design Processes &amp; Engineering Surveying. Talk about innovation using sensors ano po? #AppleEvent,0
"To compensate for removing the #EarPods from the box, @apple has lowered their price. EarPods with lightning connector now cost $19/₹1,900. A full $10/₹1,000 off! #iPhone12 #AppleNews #AppleEvent",0
I was waiting for apple to announce a 120hz display  #AppleEvent,1
After every apple product launch event:    South Delhi walo pr pressure.    Businessman pr pressure.    110 followers k sath DM for collaboration bolne wali model didi pr pressure.    Me: 12 launch ho gya hai 6 sasta milega ab.  #Apple  #AppleEvent,1
Ra weee like vite fait #AppleEvent,1
Lets see if this works!  Like this tweet and you will see a new animation!    #AppleEvent,0
iPhone 12 has no charger in the box... The prophecy is true... #AppleEvent,2
click the heart 😼 #AppleEvent,1
I phone 11 - (charger+airpods) =I phone 12  #AppleEvent,2
Hit the like button to see the magic     #AppleEvent,1
Meet the New iPhone 12—All Four of Them https://t.co/xpfQga8RrR #CIO #itnews #Cloud #BigData #AppleEvent via @WIRED,1
#AppleEvent WHY IS IT SO SLOW,2
I don’t understand the electronics engineering of the iPhone 12 Pro Max but I know it’s a beast and I will get it.     @MTCNamibia when are we getting the 5G network? I would like to download stuff “yesterday”.  #AppleEvent,1
"Do you want a FREE chance to win an iPhone 12? 📱 Well, keep an eye on our Twitter &amp; website in the next few days! 👀💝😉    #iPhone12 #AppleEvent  #BithumbGlobal #Crypto #cryptocurrency #Airdrop #GiveawayAlert",1
kinda ugly #AppleEvent,2
